year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2018,0.013843546,0.006126696,0.050318811,0.003248526,0.001854969,0.368807538,0.007701443,1.473241038,1.377500453,1.339130914,2.581945849,4.166960566,0.640424575,0.49540686,6.586901302,1.436992315,0.963561762,0.379443379,0.261822483,0.007514882,8.912149472,6.342882981,13.0860957,7.884854226,6.260456328,2.059310909,0.613955508,0.129528755,3.227573151,0.068673017,0.167637517,0.145645809,0.086956138,0.016249244,0.129700667,0.299569453,2.706417868,0.225975855,1.993425283,0.106185345,8.283789736,0.1379077,0.355816943,0.052063309,0.113810936,37.09502981,2.422438434,0.989655045,47.44147604,11.73160491,4.460936509,0.223939802,51.56235868,17.53869679,29.91488208,14.9697617,0.010138251,199.7141981,7.87E-02
2019,0.013878676,0.006131974,0.050608737,0.003259687,0.00189057,0.376901223,0.007832451,1.483599123,1.384657472,1.35604301,2.595400259,4.21556434,0.64820097,0.499557296,6.611296481,1.457849299,0.976797277,0.389696003,0.26416922,0.007600155,8.993831283,6.389677189,13.23526502,7.948446236,6.306442467,2.063564156,0.619849275,0.130670303,3.253459991,0.069457817,0.16822328,0.146563806,0.087829555,0.016422488,0.130484378,0.300713222,2.719045321,0.227327703,2.01727267,0.107522348,8.326706142,0.1381853,0.355892966,0.052593179,0.115242991,37.05708689,2.42138366,0.989476797,47.44771962,11.73404594,4.461550906,0.223899481,51.60244821,17.55776708,29.91266425,14.96848302,0.010140666,199.7025189,7.78E-02
2020,0.013913805,0.006137252,0.050898662,0.003270849,0.001926171,0.384994908,0.007963459,1.493957208,1.391814491,1.372955107,2.60885467,4.264168113,0.655977365,0.503707732,6.63569166,1.478706283,0.990032792,0.399948627,0.266515957,0.007685429,9.075513094,6.436471396,13.38443434,8.012038245,6.352428606,2.067817402,0.625743042,0.131811851,3.27934683,0.070242617,0.168809043,0.147481802,0.088702972,0.016595733,0.131268089,0.301856991,2.731672774,0.228679551,2.041120057,0.108859351,8.369622547,0.1384629,0.355968989,0.05312305,0.116675045,37.01914396,2.420328887,0.989298549,47.45396321,11.73648698,4.462165302,0.22385916,51.64253774,17.57683736,29.91044642,14.96720434,0.01014308,199.6908396,7.68E-02
2021,0.013948934,0.00614253,0.051188588,0.00328201,0.001961772,0.393088592,0.008094466,1.504315292,1.398971509,1.389867203,2.62230908,4.312771887,0.66375376,0.507858168,6.66008684,1.499563267,1.003268308,0.410201252,0.268862693,0.007770703,9.157194906,6.483265604,13.53360366,8.075630255,6.398414744,2.072070648,0.631636808,0.132953399,3.30523367,0.071027418,0.169394807,0.148399798,0.089576388,0.016768977,0.132051801,0.303000759,2.744300226,0.230031399,2.064967443,0.110196354,8.412538953,0.1387405,0.356045011,0.05365292,0.1181071,36.98120104,2.419274113,0.989120301,47.46020679,11.73892802,4.462779698,0.22381884,51.68262726,17.59590764,29.90822858,14.96592566,0.010145495,199.6791604,7.59E-02
2022,0.013984064,0.006147808,0.051478513,0.003293171,0.001997373,0.401182277,0.008225474,1.514673377,1.406128528,1.4067793,2.635763491,4.36137566,0.671530155,0.512008604,6.684482019,1.520420251,1.016503823,0.420453876,0.27120943,0.007855977,9.238876717,6.530059811,13.68277298,8.139222264,6.444400883,2.076323894,0.637530575,0.134094947,3.331120509,0.071812218,0.16998057,0.149317794,0.090449805,0.016942222,0.132835512,0.304144528,2.756927679,0.231383247,2.08881483,0.111533357,8.455455358,0.1390181,0.356121034,0.054182791,0.119539154,36.94325811,2.41821934,0.988942053,47.46645038,11.74136906,4.463394094,0.223778519,51.72271679,17.61497792,29.90601075,14.96464698,0.010147909,199.6674811,7.49E-02
2023,0.014019193,0.006153086,0.051768439,0.003304332,0.002032974,0.409275962,0.008356482,1.525031462,1.413285547,1.423691396,2.649217901,4.409979434,0.67930655,0.51615904,6.708877198,1.541277235,1.029739338,0.4307065,0.273556167,0.00794125,9.320558528,6.576854019,13.8319423,8.202814274,6.490387022,2.080577141,0.643424342,0.135236495,3.357007349,0.072597018,0.170566333,0.150235791,0.091323222,0.017115466,0.133619223,0.305288297,2.769555132,0.232735095,2.112662217,0.11287036,8.498371764,0.1392957,0.356197057,0.054712661,0.120971209,36.90531519,2.417164566,0.988763805,47.47269396,11.74381009,4.464008491,0.223738198,51.76280632,17.63404821,29.90379292,14.9633683,0.010150324,199.6558019,7.39E-02
2024,0.014054323,0.006158365,0.052058364,0.003315493,0.002068575,0.417369647,0.008487489,1.535389547,1.420442566,1.440603492,2.662672311,4.458583208,0.687082944,0.520309475,6.733272377,1.562134219,1.042974853,0.440959124,0.275902904,0.008026524,9.40224034,6.623648226,13.98111162,8.266406283,6.53637316,2.084830387,0.649318109,0.136378043,3.382894189,0.073381818,0.171152096,0.151153787,0.092196638,0.01728871,0.134402934,0.306432066,2.782182585,0.234086943,2.136509604,0.114207363,8.54128817,0.1395733,0.356273079,0.055242531,0.122403263,36.86737226,2.416109792,0.988585557,47.47893755,11.74625113,4.464622887,0.223697877,51.80289585,17.65311849,29.90157509,14.96208962,0.010152739,199.6441226,7.30E-02
2025,0.014089452,0.006163643,0.05234829,0.003326654,0.002104176,0.425463332,0.008618497,1.545747632,1.427599585,1.457515589,2.676126722,4.507186981,0.694859339,0.524459911,6.757667557,1.582991203,1.056210368,0.451211748,0.278249641,0.008111798,9.483922151,6.670442434,14.13028094,8.329998292,6.582359299,2.089083633,0.655211876,0.137519592,3.408781028,0.074166619,0.171737859,0.152071783,0.093070055,0.017461955,0.135186645,0.307575835,2.794810038,0.235438792,2.160356991,0.115544367,8.584204575,0.1398509,0.356349102,0.055772402,0.123835317,36.82942934,2.415055019,0.988407308,47.48518113,11.74869217,4.465237283,0.223657557,51.84298538,17.67218877,29.89935726,14.96081094,0.010155153,199.6324434,7.20E-02
2026,0.014124582,0.006168921,0.052638215,0.003337815,0.002139777,0.433557017,0.008749505,1.556105717,1.434756604,1.474427685,2.689581132,4.555790755,0.702635734,0.528610347,6.782062736,1.603848187,1.069445883,0.461464372,0.280596377,0.008197072,9.565603962,6.717236642,14.27945026,8.393590302,6.628345438,2.093336879,0.661105643,0.13866114,3.434667868,0.074951419,0.172323623,0.152989779,0.093943471,0.017635199,0.135970356,0.308719604,2.807437491,0.23679064,2.184204377,0.11688137,8.627120981,0.1401285,0.356425125,0.056302272,0.125267372,36.79148642,2.414000245,0.98822906,47.49142472,11.75113321,4.465851679,0.223617236,51.88307491,17.69125906,29.89713943,14.95953226,0.010157568,199.6207642,7.11E-02
2027,0.014159711,0.006174199,0.052928141,0.003348977,0.002175378,0.441650702,0.008880512,1.566463802,1.441913623,1.491339782,2.703035542,4.604394528,0.710412129,0.532760783,6.806457915,1.624705171,1.082681398,0.471716996,0.282943114,0.008282345,9.647285774,6.764030849,14.42861958,8.457182311,6.674331576,2.097590125,0.66699941,0.139802688,3.460554708,0.075736219,0.172909386,0.153907775,0.094816888,0.017808443,0.136754067,0.309863373,2.820064943,0.238142488,2.208051764,0.118218373,8.670037387,0.1404061,0.356501147,0.056832142,0.126699426,36.75354349,2.412945472,0.988050812,47.4976683,11.75357425,4.466466075,0.223576915,51.92316443,17.71032934,29.8949216,14.95825358,0.010159983,199.6090849,7.01E-02
