<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,MortFleetGroup,,
,,,
year,fleet,group,value
1996,9,30,6.18E-06
1996,9,35,2.27E-05
1996,9,40,1.12E-05
1996,9,42,1.39E-05
1996,9,43,4.73E-05
1996,9,45,1.29E-06
1996,10,6,0.03082666
1996,10,7,0.04334575
1996,10,8,7.85E-06
1996,10,29,6.81E-05
1996,10,43,7.62E-05
1996,10,45,0.000222257
1996,11,6,0.05362932
1996,11,7,0.03041928
1996,11,8,0.001058287
1996,11,9,0.000130336
1996,11,10,0.00040017
1996,11,12,2.25E-05
1996,11,15,1.75E-05
1996,11,17,0.01804997
1996,11,24,5.60E-05
1996,11,25,5.15E-06
1996,11,26,0.000932538
1996,11,27,0.000498022
1996,11,28,0.001779431
1996,11,29,0.00182834
1996,11,38,3.58E-06
1996,11,41,4.75E-06
1996,11,42,0.003244145
1996,11,43,0.02119762
1996,11,45,0.0397853
1996,11,47,9.73E-05
1996,12,11,4.43E-06
1996,12,15,1.67E-06
1996,12,41,1.38E-06
1997,1,3,0.01202218
1997,1,8,0.005235057
1997,1,9,0.003911024
1997,1,10,0.07187258
1997,1,11,4.87E-06
1997,1,12,0.01510739
1997,1,13,0.03668568
1997,1,14,0.03074923
1997,1,15,0.002555976
1997,1,16,0.01925061
1997,1,17,0.07222464
1997,1,18,0.03012646
1997,1,19,0.04125058
1997,1,20,0.1057669
1997,1,21,0.000171236
1997,1,22,1.84E-06
1997,1,23,4.17E-06
1997,1,24,0.002555001
1997,1,25,0.000160446
1997,1,26,0.005813387
1997,1,27,0.003579978
1997,1,29,0.01143271
1997,1,30,0.007189078
1997,1,31,0.03545573
1997,1,32,0.04034078
1997,1,33,0.00588926
1997,1,34,0.06248426
1997,1,35,0.001522275
1997,1,36,0.006139684
1997,1,37,0.003727392
1997,1,38,0.003034547
1997,1,39,7.74E-08
1997,1,40,0.05778063
1997,1,42,0.000615504
1997,1,43,4.36E-05
1997,1,46,2.35E-08
1997,1,47,0.001264959
1997,1,49,2.68E-05
1997,1,50,0.001079453
1997,1,52,4.90E-06
1997,2,6,0.003173296
