"species_id","Year","Production","Group","PelDemID","PISCZOOPL","Linf_cm","MaxAge_yr","IsDetritus","Classification","isHub","Class_Code","biomass_tonnes","catch_tonnes","landings_tonnes","consumption","MaxAllow","MaxGreenBand","MinGreenBand","RealMax","RealMin","catch","DistortScore","RefM","RefB","RefBo","Rel_B","Min_B","Max_B","B_Score"
"15",1999,2.832992434848,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,21016888,77134.27,32848.6407,3.395254,1.416496217424,5.50526196444715,0.0550526196444715,1.416496217424,0.0550526196444715,0.0208471,"L",0.50541,8.587306,31773032.2,0.66146938283089,0.4,0.5,"L"
"15",1996,2.8640468896858,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,21875165.9,77309.095,26441.347,3.32594,1.4320234448429,5.60445572921785,0.0560445572921785,1.4320234448429,0.0560445572921785,0.02089435,"L",0.50541,8.587306,31773032.2,0.688482161925987,0.4,0.5,"L"
"15",2000,2.8155819448152,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,20697222.8,82302.023,31793.9187,3.421515,1.4077909724076,5.44995184660984,0.0544995184660984,1.4077909724076,0.0544995184660984,0.02224379,"L",0.50541,8.587306,31773032.2,0.651408485967543,0.4,0.5,"L"
"15",1998,2.8475914087463,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,21318278.9,71985.276,26679.9563,3.370859,1.42379570437315,5.55180789309729,0.0555180789309729,1.42379570437315,0.0555180789309729,0.01945548,"L",0.50541,8.587306,31773032.2,0.670955128418622,0.4,0.5,"L"
"15",1997,2.8638862688744,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,21611463.2,84489.5,31826.2974,3.347164,1.4319431344372,5.60394090228075,0.0560394090228075,1.4319431344372,0.0560394090228075,0.022835,"L",0.50541,8.587306,31773032.2,0.68018258578418,0.4,0.5,"L"
"15",1995,2.853860623152,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5,22072424,77180.853,29285.6406,3.310159,1.426930311576,5.57184285845238,0.0557184285845238,1.426930311576,0.0557184285845238,0.02085969,"L",0.50541,8.587306,31773032.2,0.694690511785652,0.4,0.5,"L"
"16",1997,0.15091137826352,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3353038.42,67761.615,65027.4593,2.931885,0.07545568913176,0.045159238734783,0.00045159238734783,0.045159238734783,0.00045159238734783,0.01831395,"A",0.2038605,3.147265,11644880.5,0.287940990034204,0.4,0.5,"F"
"16",1999,0.1526408759064,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3240582.1,56749.342,54442.0775,2.976137,0.0763204379532,0.0460100654950459,0.000460100654950459,0.0460100654950459,0.000460100654950459,0.01533766,"A",0.2038605,3.147265,11644880.5,0.278283843273445,0.4,0.5,"F"
"16",1998,0.15098324030192,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3300925.03,59009.672,56349.1204,2.952425,0.07549162015096,0.0451944680351394,0.000451944680351394,0.0451944680351394,0.000451944680351394,0.01594856,"A",0.2038605,3.147265,11644880.5,0.28346577107425,0.4,0.5,"F"
"16",1996,0.14760945960348,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3395633.19,65505.984,62791.9859,2.915181,0.07380472980174,0.04355209428284,0.0004355209428284,0.04355209428284,0.0004355209428284,0.01770432,"A",0.2038605,3.147265,11644880.5,0.291598800863607,0.4,0.5,"F"
"16",1995,0.14344522456508,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3421838.44,61629.716,59017.2237,2.905108,0.07172261228254,0.0415577305752892,0.000415577305752892,0.0415577305752892,0.000415577305752892,0.01665668,"A",0.2038605,3.147265,11644880.5,0.29384916745174,0.4,0.5,"F"
"16",2000,0.15626203964388,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5,3164028.36,64725.876,61700.6154,3.006127,0.07813101982194,0.047811460964806,0.00047811460964806,0.047811460964806,0.00047811460964806,0.01749348,"A",0.2038605,3.147265,11644880.5,0.271709817889501,0.4,0.5,"F"
"17",1998,0.1713375130341,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2104571.1,269739.657,239512.0149,3.613378,0.08566875651705,0.0555968681114696,0.000555968681114696,0.0555968681114696,0.000555968681114696,0.07290261,"F",0.1314458,2.048874,7580833.8,0.277617364464579,0.4,0.5,"F"
"17",1999,0.16894322856684,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2059459.22,257483.629,229648.52382,3.655762,0.08447161428342,0.0543299634821046,0.000543299634821046,0.0543299634821046,0.000543299634821046,0.06959017,"F",0.1314458,2.048874,7580833.8,0.271666583694263,0.4,0.5,"F"
"17",1997,0.17495173483305,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2154402.33,287225.783,256407.8725,3.568934,0.087475867416525,0.0575307583740081,0.000575307583740081,0.0575307583740081,0.000575307583740081,0.07762859,"F",0.1314458,2.048874,7580833.8,0.284190682296715,0.4,0.5,"F"
"17",1996,0.1728127958742,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2201818.2,285934.594,253191,3.529145,0.0864063979371,0.0563831478278627,0.000563831478278627,0.0563831478278627,0.000563831478278627,0.07727962,"F",0.1314458,2.048874,7580833.8,0.290445386099877,0.4,0.5,"F"
"17",1995,0.16509893336431,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2227577.23,269167.637,237045.7318,3.507702,0.082549466682155,0.0523196837408578,0.000523196837408578,0.0523196837408578,0.000523196837408578,0.07274801,"F",0.1314458,2.048874,7580833.8,0.293843301247417,0.4,0.5,"F"
"17",2000,0.17092323787798,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5,2007887.14,264091.089,232876.1796,3.705315,0.08546161893899,0.0553768464426394,0.000553768464426394,0.0553768464426394,0.000553768464426394,0.07137597,"F",0.1314458,2.048874,7580833.8,0.264863627533953,0.4,0.5,"F"
"18",2000,0.058366954987526,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,361075.489,11513.3825,6191.6318,2.406673,0.029183477493763,0.00952755810621985,9.52755810621985e-05,0.00952755810621985,9.52755810621985e-05,0.003111725,"A",0.7356771,1.220158558,4514586.6646,0.0799797447308483,0.4,0.5,"F"
"18",1995,0.06032750663925,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,480229.29,13626.7226,7399.4561,2.117352,0.030163753319625,0.0100573644055778,0.000100573644055778,0.0100573644055778,0.000100573644055778,0.003682898,"A",0.7356771,1.220158558,4514586.6646,0.106372814540387,0.4,0.5,"F"
"18",1998,0.06086618417692,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,420533.86,11698.4676,6342.2292,2.252435,0.03043309208846,0.0102048825848832,0.000102048825848832,0.0102048825848832,0.000102048825848832,0.003161748,"A",0.7356771,1.220158558,4514586.6646,0.0931500248511145,0.4,0.5,"F"
"18",1997,0.06174913100235,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,445319.05,14056.1853,7660.1914,2.194288,0.030874565501175,0.0104484852152298,0.000104484852152298,0.0104484852152298,0.000104484852152298,0.003798969,"A",0.7356771,1.220158558,4514586.6646,0.0986400490418886,0.4,0.5,"F"
"18",1996,0.06150207246144,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,466007.23,14184.3755,7712.6426,2.148131,0.03075103623072,0.0103800969904023,0.000103800969904023,0.0103800969904023,0.000103800969904023,0.003833615,"A",0.7356771,1.220158558,4514586.6646,0.103222568226252,0.4,0.5,"F"
"18",1999,0.05980651072088,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5,392528.56,10664.1844,5799.861,2.322801,0.02990325536044,0.00991548555057049,9.91548555057049e-05,0.00991548555057049,9.91548555057049e-05,0.002882212,"A",0.7356771,1.220158558,4514586.6646,0.0869467327048818,0.4,0.5,"F"
"19",2000,0.057432035483,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,684374.2,29672.5792,14866.5334,2.840755,0.0287160177415,0.00927885939423143,9.27885939423143e-05,0.00927885939423143,9.27885939423143e-05,0.008019616,"A",0.229571,0.4542549,1680743.13,0.407185481103231,0.35,0.6,"A"
"19",1998,0.05542690665215,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,711749.39,27426.5349,14121.7234,2.725542,0.027713453326075,0.00875415860583581,8.75415860583581e-05,0.00875415860583581,8.75415860583581e-05,0.007412577,"A",0.229571,0.4542549,1680743.13,0.423473032431791,0.35,0.6,"A"
"19",1997,0.05572413998886,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,723331.13,31333.6054,15744.7173,2.679398,0.02786206999443,0.0088311863193661,8.8311863193661e-05,0.0088311863193661,8.8311863193661e-05,0.008468542,"A",0.229571,0.4542549,1680743.13,0.430363877197582,0.35,0.6,"A"
"19",1996,0.05488949342754,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,734341.59,30908.6752,15537.3878,2.638295,0.02744474671377,0.00861555673749473,8.61555673749473e-05,0.00861555673749473,8.61555673749473e-05,0.008353696,"A",0.229571,0.4542549,1680743.13,0.436914824694241,0.35,0.6,"A"
"19",1999,0.05585194127326,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,699941.21,25906.3788,12964.1895,2.77476,0.02792597063663,0.00886438664330881,8.86438664330881e-05,0.00886438664330881,8.86438664330881e-05,0.007001724,"A",0.229571,0.4542549,1680743.13,0.41644746154637,0.35,0.6,"A"
"19",1995,0.053492320152,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3,741445.96,29024.9127,14602.7789,2.612763,0.026746160076,0.0082592644314108,8.2592644314108e-05,0.0082592644314108,8.2592644314108e-05,0.007844571,"A",0.229571,0.4542549,1680743.13,0.441141746627279,0.35,0.6,"A"
"2",1995,0.00011998689993388,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22200.1073,0,0,11.19995,5.999344996694e-05,3.78112659422402e-07,3.78112659422402e-09,3.78112659422402e-07,3.78112659422402e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914707727901378,0.5,0.7,"L"
"2",2000,0.00012003391910356,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22199.4598,0,0,11.19941,6.001695955178e-05,3.78355393371649e-07,3.78355393371649e-09,3.78355393371649e-07,3.78355393371649e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914681049054929,0.5,0.7,"L"
